country,Region,Region code (ASGS),Indicator,Unit,Amount,Year,population
Australia,New South Wales,1,Total water use by industry (a),ML,"20,239,384",2015,"7,980,168"
Australia,New South Wales,1,"Total water use by industry (less Electricity, Gas, Water and Waste Services) (a)",ML,"4,486,044",2015,"7,980,168"
Australia,New South Wales,1,Total water use by households (a),ML,"533,937",2015,"7,980,168"
Australia,New South Wales,1,Total water use (a),ML,"20,773,321",2015,"7,980,168"
Australia,New South Wales,1,"Total water use (less Electricity, Gas, Water and Waste Services) (a)",ML,"5,019,981",2015,"7,980,168"
Australia,New South Wales,1,Gross Value Added (GVA); Chain volume measures,$m,"496,601",2015,"7,980,168"
Australia,New South Wales,1,Estimated population as of 30 June,persons,"7,616,168",2015,"7,980,168"
Australia,New South Wales,1,Estimated number of households at 30 June,households,"2,853,190",2015,"7,980,168"
Australia,New South Wales,1,"Total water use (less Electricity, Gas, Water and Waste Services) per capita (a)",ML,0.66,2015,"7,980,168"
Australia,New South Wales,1,Total household water use per household ,ML,0.19,2015,"7,980,168"
Australia,Victoria,2,Total water use by industry (a),ML,"11,905,177",2015,"6,462,019"
Australia,Victoria,2,"Total water use by industry (less Electricity, Gas, Water and Waste Services) (a)",ML,"3,116,298",2015,"6,462,019"
Australia,Victoria,2,Total water use by households (a),ML,"373,726",2015,"6,462,019"
Australia,Victoria,2,Total water use (a),ML,"12,278,903",2015,"6,462,019"
Australia,Victoria,2,"Total water use (less Electricity, Gas, Water and Waste Services) (a)",ML,"3,490,024",2015,"6,462,019"
Australia,Victoria,2,Gross Value Added (GVA); Chain volume measures,$m,"356,558",2015,"6,462,019"
Australia,Victoria,2,Estimated population as of 30 June,persons,"6,022,322",2015,"6,462,019"
Australia,Victoria,2,Estimated number of households at 30 June,households,"2,267,587",2015,"6,462,019"
Australia,Victoria,2,"Total water use (less Electricity, Gas, Water and Waste Services) per capita (a)",ML,0.58,2015,"6,462,019"
Australia,Victoria,2,Total household water use per household ,ML,0.16,2015,"6,462,019"
Australia,Queensland,3,Total water use by industry (a),ML,"6,911,596",2015,"5,009,424"
Australia,Queensland,3,"Total water use by industry (less Electricity, Gas, Water and Waste Services) (a)",ML,"3,253,592",2015,"5,009,424"
Australia,Queensland,3,Total water use by households (a),ML,"330,939",2015,"5,009,424"
